Куда наноситься код маркировки при маркировке обуви?,"Код маркировки можно нанести на саму обувь, коробку от обуви или на товарный ярлык на обуви, выбор места нанесения определяет сам участник оборота обувных товаров.",
Что такое ИС МПТ?,"ИС МПТ — информационная система маркировки и прослеживаемости товаров Единого оператора, которая включает в себя модули: маркировка и прослеживаемость товаров (МПТ), национальный каталог товаров (НКТ), станция управления заказами (СУЗ).",
Как проходит регистрация в информационной системе маркировки и прослеживаемости товаров?,Регистрация с информационной системе маркировки и прослеживаемости товаров Единого оператора осуществляется на сайте https://elk.prod.markirovka.ismet.kz/login-kep с помощью ЭЦП первого руководителя для юридических лиц и ЭЦП физического лица для индивидуальных предпринимателей . ,
Где необходимо зарегистрироваться для маркировки обуви?,Чтобы получить код маркировки предпринимателю необходимо зарегистрироваться в единой информационной системе маркировки и прослеживаемости товаров (ИС МПТ) при помощи своего ЭЦП. Для этого нужно зайти на сайт https://elk.prod.markirovka.ismet.kz/login-kep и создать Личный кабинет. Регистрация пользователя займёт не более 3 минут.,удалить
Какое оборудование понадобится для работы с маркированным товаром?,"Для работы с маркированным товаром Вам понадобится следующее:- электронная подпись ЭЦП. - 2D сканер штрихкода. - контрольно-кассовая техника, если вы розничный продавец.Вам может также понадобиться интеграция с ИС МПТ. Для интеграции между участниками оборота товаров и ИС МПТ необходим открытый протокол API. Описание методов работы находится в «Личном кабинете» участника оборота товаров в разделе «Техническая документация». Воспользуйтесь ссылкой https://markirovka.ismet.kz/ru/business/product/shoes.",
Как начать маркировать товар и получить код маркировки?,"Для того, чтобы начать маркировать товар, участнику рынка обуви необходимо зарегистрироваться в ИС МПТ на сайте https://elk.prod.markirovka.ismet.kz/login-kep. После регистрации пользователя можно начать регистрировать товар. Далее система самостоятельно сгенерирует коды маркировки.Вы также можете апробировать процесс маркировки в тестовой среде. Для этого пройдите по ссылке: https://stage.ismet.kz/login-kep",
Кто может пополнить счёт участника оборота товаров?,"Положить деньги на баланс может сам участник оборота товаров, согласно выставленному Оператором счёту на оплату в ИС МПТ. Это очень простая процедура, достаточно нажать кнопку «Пополнить баланс».",
"При списании КМ, вернутся ли деньги за него на личный счёт?","Нет, не вернутся.",
"Какие существуют ограничения на 1 заказ кода маркировки (API, UI)?",Максимальный размер заявки на предоставление кодов маркировки (КМ) для одной товарной номенклатуры/одного кода товара составляет 150 000 КМ. Максимальное количество товарных номенклатур в заявке на предоставление кодов маркировки — 10. Максимальное количество хранимых заказов в личном кабинете (в станции управления заказами СУЗ) — 100 единиц.,
"Какие ограничения по размеру распространяются на загрузочные файлы форматов xls, xlsx?","1. В НКТ при загрузке карточек товаров файлом Excel - не более 100 GTIN в одном файле. 
2. В ИС МПТ при создании любого уведомления - не более 12 000 кодов в одном файле.",
"Что делать с немаркированной обувью, ввезённой на территорию страны до 1 ноября 2021 года?","Если вы не успели реализовать остатки товаров до 1 ноября 2021 года, то необходимо промаркировать товар по облегчённой процедуре как остатки. Маркировка остатков допускается до 1 апреля 2023 года.",
Какими нормативно-правовыми актами регулируется маркировка и прослеживаемость обувных товаров?,"Маркировка и прослеживаемость обувных товаров регулируется следующими нормативно-правовыми актами: 1. Закон Республики Казахстан от 12 апреля 2004 года «О регулировании торговой деятельности». Почитать можно здесь https://adilet.zan.kz/rus/docs/Z040000544_#z82. 2.Соглашение о маркировке товаров средствами идентификации в Евразийском экономическом союзе от 2 февраля 2018 года. Читать по ссылке https://adilet.zan.kz/rus/docs/Z1900000230. 3. Решение Совета Евразийской экономической комиссии «О введении маркировки обувных товаров средствами идентификации» от 8 августа 2019 года № 72. Подробнее тут https://adilet.zan.kz/rus/docs/H19EV000072. 4. Приказ МИИР РК от 30.09.2021 г. №518 «Об утверждении Правил маркировки и прослеживаемости контрольными (идентификационными) знаками обувных товаров». Читаем далее https://adilet.zan.kz/rus/docs/V2100024624. 5. ППРК от 08.09.2021 г. №620 «Об определении предельного размера стоимости контрольного (идентификационного) знака, средства идентификации, применяемых в маркировке обувных товаров». Информация здесь https://adilet.zan.kz/rus/docs/P2100000620. 6. ППРК от 10.09.2020 г. №568 «Об определении перечня товаров, подлежащих маркировке». Узнать больше https://adilet.zan.kz/rus/docs/P2000000568.",
"Импорт обуви из России. Товар растамаживается не в Казахстане, при этом нет возможности нанести коды маркировки у производителя. Где нам нанести коды?",В этом случае необходимо найти возможность нанести маркировку до пересечения границы. Маркировать обувь можно:- на территории третьих стран (на промежуточных складах). - на таможенном складе в РФ.,
Производство обуви в Казахстане. Что нужно для маркировки товара?,"Отечественному производителю сначала необходимо зарегистрироваться в ассоциации GS1 Казахстан, в том случае, если он не является её членом. Это требуется для получения GTIN или штрих-кода. Затем зарегистрироваться в информационной системе маркировки и прослеживаемости товаров (ИС МПТ) на сайте https://elk.prod.markirovka.ismet.kz/login-kep и заполнить атрибуты товара в Национальном каталоге товаров (НКТ).Далее надо выбрать из своих зарегистрированных карточек товара необходимые модели и соответствующее количество кодов маркировки. Коды маркировки генерируются автоматически в ИС МПТ. После сформированные Data Matrix коды выгружаются в формате PDF или CSV. Выгруженные коды распечатываются на принтере и готовы к нанесению на обувь или на коробку.",
"Импорт из стран, не входящих в ЕАЭС. Производитель готов нанести коды на товар. Что необходимо сделать?","Маркировка обуви в данном случае также нужна. Импортёру необходимо зарегистрироваться в ИС МПТ, получить от своего производителя GTIN (GCP, GLN), завести карточку товара в Национальном каталоге товаров (НКТ), заказать и выгрузить коды маркировки в формате PDF или CSV. Затем отправить, например, по e-mail эти файлы производителю. Он должен нанести коды на товар.В случае, когда известен GTIN или штрих-код, но нет данных о GCP, GLN, то эти данные можно получить по следующей ссылке: https://gepir.gs1.org/index.php/search-by-gtin.",
"Импорт из стран, не входящих в ЕАЭС. Производитель не готов нанести коды на товар. Что необходимо сделать?","В этом случае импортёр должен зарегистрироваться в ИС МПТ на сайте https://elk.prod.markirovka.ismet.kz/login-kep, получить от своего производителя GTIN или штрих-код (GCP, GLN), завести карточку товара в Национальном каталоге товаров (НКТ), заказать и выгрузить коды маркировки. Импортёр обязан нанести их на товар до пересечения границ РК или на таможенных складах РК до окончания таможенных процедур.В случае, когда известен GTIN, но нет данных о GCP, GLN, то эти данные можно получить по следующей ссылке: https://gepir.gs1.org/index.php/search-by-gtin.",
Розничный магазин. Реализация маркированного товара и вывод из оборота. Инструкции.,"Вам необходимо зарегистрироваться в ИС МПТ на сайте https://elk.prod.markirovka.ismet.kz/login-kep , как представителю розничной торговли. Затем в ИС МПТ импортёр/поставщик и представитель розничной торговли во время передачи товара формируют Акт приёма-передачи и подписывают его в системе своими ЭЦП.Чтобы вывести реализованный товар из оборота нужно отсканировать код Data Matrix, нанесённый на упаковку продаваемой продукции, товар или товарный ярлык, техническими устройствами. Например, 2D сканер, сопряжённый с установленной у него контрольно-кассовой машиной, которая зарегистрирована в соответствии с Приказом Министра финансов Республики Казахстан от 16 февраля 2018 года № 208 «О некоторых вопросах применения контрольно-кассовых машин». Либо воспользоваться бесплатным приложением Naqty Sauda Kassa, которое заменяет 2D сканер и ККМ-онлайн.",
Импортёр и розничный продавец в одном лице. Алгоритм действий.,"Зарегистрироваться в ИС МПТ на сайте https://elk.prod.markirovka.ismet.kz/login-kep и получить от производителя обуви GTIN (GCP, GLN). Затем завести карточку товара в Национальном каталоге товаров (НКТ), заказать и выгрузить коды маркировки и нанести их непосредственно у производителя до пересечения границ Казахстана. Это можно сделать также на таможенных складах Казахстана до прохождения таможенной очистки. При реализации товара вывод из оборота происходит после сканирования Data Matrix кода. В случае, когда известен GTIN (штрих-код), но нет данных о GCP, GLN, эти данные можно получить по следующей ссылке: https://gepir.gs1.org/index.php/search-by-gtin.В случае, если производитель обуви не может предоставить GTIN (штрих-код) на товар, импортеру необходимо зарегистрироваться в GS-1 Kazakhstan для получения GTIN.",
Где можно нанести код Data Matrix на территории Казахстана до прохождения процедур таможенной очистки?,"Шесть таможенных складов предоставляют услуги маркировки: 1. п. Байсерке., ул. Султана-Бейбарса 1, ТОО «СВХ «Алатау» (ДАМУ логистик) 2. с. Казцик, улица Бережинский Алексей Фёдорович, 17 Б, «ICEBERG Almaty» 3. г. Алматы, пр. Сүйiнбай, 258 В, ТОО «ALG Company» 4. г. Астана, ул. Пушкина 48, ТОО «Прометей 2003» 5. г. Алматы, Жас канат 595 ТОО, «Norma Logistics» 6. г. Астана, ул.Досмухамедулы 46, TOO «AIE Logistics» Следите за обновлением данной информации. К примеру, обувь, импортируемая из Узбекистана: галоши, тапочки и прочее – маркируется в основном на территории Узбекистана. Таможенная очистка происходит через склад временного хранения (СВХ). Торговые Таможенные склады (ТС) готовы предоставлять площадку импортёрам для нанесения маркировки. Услуги по нанесению маркировки со стороны ТС осуществляются только на ТОО «СВХ Алатау» через отдел манипуляции. На территории остальных ТС импортёры самостоятельно осуществляют маркировку обуви. Для этого надо получить допуск своих представителей и разрешение на маркировку на территории ТС в таможенном органе.",
Может ли сотрудник компании зарегистрироваться и работать в ИС МПТ вместо руководителя?,"Такая возможность предусмотрена. Можно добавить доверенного пользователя в Национальном каталоге товаров. Зарегистрированный доверенный пользователь должен авторизоваться в Национальном каталоге по логину и паролю и производить регистрацию карточек товара, просматривать настройки профиля и прочее.Чтобы добавить доверенного пользователя, первый руководитель должен перейти на сайте https://elk.prod.markirovka.ismet.kz/login-kep во вкладку «Доверенные пользователи», нажать на кнопку «Добавить доверенного пользователя».Кроме того, возможна регистрация доверенных пользователей в ИС МПТ в профиле УОТ.",
"Как маркировать товар, если его не единицы, а тысячи?","В данном случае есть возможность провести интеграцию по API учётных систем участника рынка обуви с Национальным каталогом товаров (НКТ) ИС МПТ или заполнить шаблоны в Excel, а потом импортировать их в Национальный каталог товаров (НКТ). Шаблоны Excel доступны для скачивания в НКТ.",
Будет ли возможность добавления своих атрибутов в определённых полях Национального каталога товаров (НКТ)?,"Да, такая возможность предполагается. Для добавления своих атрибутов необходимо обратиться по номеру горячей линии 8-800-080-65-65 или на электронный адрес: mark@ismet.kz.",
Есть ли возможность интегрировать учётные системы импортера с ИС МПТ?,"Интегрировать учётные системы возможно. Для этого разработано открытое API. Стоит отметить, что интеграция — это необязательный процесс, но используется для удобства пользователей.В апреле 2022 года реализована интеграция с 1С. Для вашего удобства пройдите по ссылке https://www.1c-rating.kz/news/1273760/",
Что такое GPC?,"GPC — это система, которая предоставляет возможность покупателям и продавцам использовать общий деловой язык для одинаковой группировки продуктов во всем мире. GPC классифицирует продукты, группируя их по категориям на основе их основных характеристик, а также описывает их связи с другими продуктами.GPC основан на коде продукта, который называется «Brick» (группа). Каждый продукт имеет свой «Brick» — от автомобиля до пакета молока и состоит из 8 цифр.",
Где находятся данные для поля GPC в Национальном каталоге товаров?,Данные для поля GPC вы найдете на сайте https://markirovka.ismet.kz в разделе «Обувь» и подразделе «Инструкции». Далее посмотрите файл «Обувь по кодам КПВЭД-ТН ВЭД-GPC».,
Что такое GTIN?,"GTIN — это глобальный идентификационный номер. Он присваивается разновидности товара (продукции) национальной организацией GS1 в соответствии с правилами, установленными стандартами системы GS1.",
Для чего нужен GTIN?,Глобальный идентификационный номер нужен для однозначной идентификации товара (продукции) в мировом экономическом пространстве. Используется в качестве кода товара в ИС МПТ. Наносится в виде штрих-кода на каждую единицу товара. Система ИС МПТ считывает GTIN любой страны.,
"Что должен сделать импортёр, если производитель не знает или не имеет GTIN?","Для получения GTIN импортер (при отсутствии GTIN у ввозимого товара) должен вступить в ассоциацию автоматической идентификации «GS1-Kazakhstan» на сайте www.gs1.kz. Вступая в ассоциацию, вы получаете «Личный кабинет» с 99999 штрих-кодами товара GTIN. Далее маркируете товар согласно инструкции, которая есть на сайте www.kazmarka.kz",
Что такое GCP и GLN?,"GCP (Global Company Prefix) —это международный регистрационный номер предприятия в системе GS1.GLN (Global Location Number) — глобальный номер места нахождения или глобальный идентификационный номер. Специальный международный код, который применяется в системах электронного обмена данными и электронной коммерции. С его с помощью можно точно и быстро определить расположение юридических лиц, их функциональных подразделений и физических объектов — складов, магазинов, производственных помещений, транспортных единиц.GCP и GLN необходимо ввести при добавлении субаккаунта в настройках профиля Национального каталога товаров (НКТ).Если Ваш товар содержит штрих-код GTIN, то по нему можно найти GCP и GLN в сервисе GEPIR. Перейдите по ссылке https://gs1.kz/ru/page/gepir",
Каков срок действия кода маркировки после получения и печати?,Код маркировки действует до вывода его из оборота.,
Срок ввода кодов маркировки в оборот?,"Здесь необходимо обратиться к восьмой главе, пункту 34 Приказа «Об утверждении Правил маркировки и прослеживаемости контрольными (идентификационными) знаками обувных товаров»: 1) для производителей обуви в Казахстане срок ввода маркировки до первичной реализации. 2) для импортёров из стран ЕАЭС – до пересечения границы Республики Казахстан. 3) для импортёров из стран, не входящих в состав ЕАЭС – до пересечения таможенной границы ЕАЭС (до растаможивания). 4) для комиссионеров – до реализации. 5) маркировка остатков обуви допускается до 1 апреля 2023 года.",
Нужно ли маркировать ортопедическую обувь?,"Да, если она классифицируется кодами ТН ВЭД ЕАЭС 6401, 6402, 6403, 6404, 6405.",
"Нужно ли маркировать образцы обуви, которые были ввезены в Казахстан на выставку в качестве экспоната (образца)?",Выставочные и экспериментальные образцы не находятся в обороте и не подлежат маркировке.,
Как идентифицировать утраченный/испорченный код маркировки?,"Идентифицировать утраченные или испорченные коды маркировки, те, что не читаются сканером, можно в процессе проведения инвентаризации. Их необходимо списать или вывести из оборота в «Личном кабинете» ИС МПТ. Идентификация кодов маркировки проводится самим участником оборота товаров.",
Когда необходимо предоставить сведения в ИС МПТ о вводе импортного товара в оборот?,"1.	При импорте из стран ЕАЭС - по факту принятия на учёт ввезённого товара. 
2.	При импорте из стран, не входящих в состав ЕАЭС - по факту прохождения таможенной очистки.",
Что делать при недостаче маркированного товара?,При выявлении недостачи маркированного товара необходимо подать сведения о выводе данного товара из оборота в ИС МПТ.,
Как осуществить вывод товара из оборота при онлайн-торговле?,"Если Ваша компания выводит товар из оборота дистанционным способом, осуществляя доставку с привлечением курьерской компании или оператора почтовой связи, а те не готовы включить код маркировки в чек, то необходимо подавать сведения о выводе товара из оборота в ИС МПТ напрямую. Причиной указать «Интернет-торговля», по факту отгрузки товара со склада для доставки конечному потребителю.",
Какие документы первичны при подаче сведений через «Личный кабинет» в ИС МПТ?,"Первичными документами при подаче сведений через личный кабинет в ИС МПТ являются накладные, счета-фактуры и прочие документы в соответствии с требованиями, изложенными в нормативных актах, регламентирующих бухгалтерскую отчетность.",
Что такое КИТУ?,"КИТУ – это код идентификации транспортной упаковки обуви и текстиля. Он может быть сформирован произвольным образом согласно требованиям отправителя и/или получателя отгружаемой продукции и/или в соответствии с международным стандартом 17 ГС1-128 (главный идентификационный ключ – SSCC), и/или иными требованиями.",
Для чего предназначен КИТУ?,"КИТУ, сформированный в виде серийного кода транспортной упаковки SSCC при маркировке обуви и текстиля, предназначен для кодирования и нанесения средств идентификации на транспортную упаковку при выполнении операции агрегирования участником оборота товаров, вступившим в GS1. Номер SSCC является одним из ключевых элементов при построении системы прослеживаемости. Он уникальным образом идентифицирует КАЖДУЮ логистическую единицу и её содержимое. Используя номер SSCC, вы всегда будете знать, в каком месте в цепи поставок находится ваш товар (прослеживаемость).",
Как создать КИТУ?,"SSCC состоит из 18 символов, сформированных по шаблону {00}{0}{000000000}{0000000}{0} в соответствии со структурой данных, предусмотренной GS1:• идентификатор применения 00, указывающий, что за ним следует поле данных с номером SSCC. КИТУ всегда начинается с (00). • цифра расширения — присваивается компанией, создающей номер SSCC, и используется для увеличения ёмкости SSCC (один цифровой символ от 0 до 9): «0» — для коробки, «1» — для палеты. Если коробок больше, то допустимо использовать следующую цифру из диапазона 2 — 9. • префикс компании GS1, содержащий глобальный уникальный номер, присваиваемый члену GS1 (первые 9 цифр из GLN компании). • серийный ссылочный номер (ИСН транспортной упаковки) — «серийная» часть номера, присваиваемая компанией-владельцем префикса каждой логистической единице, и составляемая по произвольному (как правило, последовательному) порядку присвоения (7 цифровых символов). Например: 0000001, следующий будет 0000002 и т. д.. • контрольная цифра – цифра, вычисляемая по специальному алгоритму из предшествующих цифр, которая служит для гарантии целостности данных.Подробная информация доступна на сайте GS1 (https://gs1.kz/ru/page/sscc ). Пример кода SSCC: 00046012345600000016.",
Можно ли передать в одном акте приёма-передачи товары по разным ТГ и без маркировки?,На сегодня такая возможность не предусмотрена.,
Можно ли удалить документ в «Личном кабинете» ИС МПТ?,Нет.,
"Что делать, если оптовый покупатель не зарегистрирован в ИС МПТ?","Попросить контрагента зарегистрироваться в ИС МПТ, ссылаясь на требования Правил, которые вы найдёте по ссылке https://adilet.zan.kz/rus/docs/V2100024624",
Как узнать зарегистрирован ли контрагент в ИС МПТ для отгрузки маркированного товара?,Для этого вам нужно уточнить статус регистрации контрагента в системе мониторинга. Это можно сделать одним из следующих способов:— непосредственно у участника. — при подаче сведений о передаче маркированных товаров в ИС МПТ в ручном режиме. В момент заполнения поля «БИН/ИИН получателя» у зарегистрированного в ИС МПТ участника оборота товаров автоматически заполняется поле «Наименование получателя».,
Обязательно ли использовать товароучётную систему для работы в ИС МПТ?,"Работа с товароучётной системой не регламентируется Оператором системы маркировки и прослеживаемости. В этом случае решение о необходимости использования товароучётного программного обеспечения вам придётся принимать самостоятельно. Вы должны знать, что участник товарооборота может провести интеграцию товароучётной программы с «Личным кабинетом» ИС МПТ самостоятельно или с помощью интегратора.",
вопросы по НПА,,
Что такое маркировка?,Процесс маркировки предполагает заказ кодов маркировки (Data Matrix) производителями или импортерами и их нанесение на упаковки лекарственных средств. ,
Что такое прослеживаемость?,Процесс прослеживаемости предполагает передачу маркированных лекарственных средств между участниками оборота лекарственных средств в подсистеме Центр электронного документооборота маркированных товаров (ЦЭДМ).,
